Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB);Downloads;Rating;Rating Count
10 Seconds;10 Seconds v3+1.0 -VRP v76;com.zynksoftware.secondsmatter;3;2026-04-15 20:45 UTC;107;0;0;0
100 Day Siege;100 Day Siege v13+0.1.3 -VRP v76;com.foundrysix.siege.metaquest;13;2026-04-15 20:42 UTC;714;0;0;0
10k Science;10k Science v275+1.2.41p15 -JF;com.dynamoid.l0k;275;2026-04-15 20:45 UTC;105;0;0;0
17 Seconds;17 Seconds v2+1.0 -VRP;com.xsgames.seventeenseconds;2;2026-04-15 20:46 UTC;82;0;0;0
1976;1976 v18+1.34 -VRP v76;com.ivanovichgames.game1976;18;2026-04-15 20:42 UTC;930;0;0;0
2048 World;2048 World v1+0.1 -VRP v76;com.doncarrot.world2024;1;2026-04-15 20:45 UTC;0;0;0;0
2048 World (MR-Fix);2048 World (MR-Fix) v1+0.1 -VRP v76;com.mrf.doncarrot.world2024;1;2026-04-15 20:45 UTC;74;0;0;0
2MD- VR Football Unleashed ALLSTAR;2MD- VR Football Unleashed ALLSTAR v300027+1.8 -VRP v76;com.truantpixel.twomdquest;300027;2026-04-15 21:20 UTC;2120;0;0;0
360 World Explorer;360 World Explorer v1009+1.2.1009 -JF;io.simulatedreality.worldexplorer;1009;2026-04-15 20:47 UTC;386;0;0;0
3D Stunt Bike Extreme Rush VR Ride;3D Stunt Bike Extreme Rush VR Ride v2+0.2 -VRP;com.horizonhub.stuntbike.extremerush.vrride;2;2026-04-15 20:51 UTC;73;0;0;0
4XVR Video Player (Pro + Trial Bypass);4XVR Video Player (Pro + Trial Bypass) v11026+1.10.26 -VRP;cn.vr4p.oculus4xvrplayerov;11026;2026-04-15 20:51 UTC;337;0;0;0
51 Aliens TV;51 Aliens TV v6+0.51 -VRP v76;com.fiftyonealiens.fiftyonealienstvquest;6;2026-04-15 20:49 UTC;355;0;0;0
9 Ball Pool VRX;9 Ball Pool VRX v1+1.0.0 -VRP v76;com.abstron.nine.ball.pool.vrx;1;2026-04-15 20:51 UTC;55;0;0;0
99 DROPS;99 DROPS v89+1.0.089 -VRP;com.univrs.faye;89;2026-04-15 20:57 UTC;529;0;0;0
_Utility - XR Native Android File Manager;_Utility - XR Native Android File Manager v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidfilemanager;1;2026-04-16 20:15 UTC;0;0;0;0
_Utility - XR Native Android Settings;_Utility - XR Native Android Settings v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidsettings;1;2026-04-16 20:17 UTC;0;0;0;0
A Black Climbing Dog;A Black Climbing Dog v51+1.1.2 -JF;com.team9.abcdlite;51;2026-04-21 22:25 UTC;561;0;0;0
A Fishermans Tale;A Fishermans Tale v25+1.087 -VRP v76;com.innerspacevr.afishermanstale;25;2026-04-15 20:58 UTC;2268;0;0;0
A Fishermans Tale 2;A Fishermans Tale 2 v59+1.086 -VRP v76;com.innerspacevr.theseus;59;2026-04-15 20:54 UTC;2697;0;0;0
A Knight in the Attic;A Knight in the Attic v119+.119 -VRP v76;com.mightyyellstudios.wobblyknightmaster;119;2026-04-15 20:53 UTC;264;0;0;0
A little journey;A little journey v200006+1 -VRP v76;com.egames.alittlejourney;200006;2026-04-15 20:55 UTC;737;0;0;0
A Long Survive;A Long Survive v5950+1.0.5950 -JF;com.friendlyfirestudios.alongsurvive;5950;2026-06-10 15:40 UTC;2606;0;0;0
A Lullaby of Colors;A Lullaby of Colors v1+1.2.2 -VRP v76;com.idumpling.a_lullaby_of_colors;1;2026-04-15 20:53 UTC;149;0;0;0
A lunar adventure;A lunar adventure v22+1.0 -VRP v76;com.pyromobile.moon;22;2026-04-15 20:58 UTC;144;0;0;0
A Persistent Illusion;A Persistent Illusion v66+2.6.6 -JF;com.ryanupinhere.apersistentillusion;66;2026-05-05 09:57 UTC;313;0;0;0
A Rogue Escape;A Rogue Escape v104+1.0 -VRP v76;com.armorgames.nauticrawlvr;104;2026-04-15 20:42 UTC;1136;0;0;0
A Space Pawdyssey;A Space Pawdyssey v42+1.1 -VRP;com.anotherworldvr.spacepawdyssey;42;2026-04-16 21:14 UTC;6412;0;0;0
A Very Difficult Game About Walking;A Very Difficult Game About Walking v1+0.1.0 -VRP;com.skycamp.stiltwalk;1;2026-04-15 20:42 UTC;271;0;0;0
A102;A102 v54+1.0.4 -VRP v76;red.chesco.a102;54;2026-04-15 20:58 UTC;1144;0;0;0
AAA Driver;AAA Driver v10+0.8 -VRP;com.cosmolab.realracer;10;2026-04-15 21:00 UTC;828;0;0;0
Acoustic Guitar;Acoustic Guitar v2+1 -VRP;com.vlura.acousticguitar;2;2026-04-15 21:12 UTC;165;0;0;0
Acron- Attack of the Squirrels!;Acron- Attack of the Squirrels! v121009250+1.21.9250-release -JF;com.resolutiongames.codenamelazarus;121009250;2026-04-17 20:52 UTC;242;0;0;0
Across the Valley;Across the Valley v32+1.2.1.4044 -VRP;com.fusionplay.acrossthevalley;32;2026-04-15 20:42 UTC;296;0;0;0
Action Hero;Action Hero v109160+1.00.109160 -VRP v76;com.fasttravelgames.solero;109160;2026-04-16 21:10 UTC;5728;0;0;0
Action Resort XR;Action Resort XR v484+0.4.84 -VRP v76;com.verseus.actionresort;484;2026-04-16 21:10 UTC;1479;0;0;0
Active Shooter Survival;Active Shooter Survival v9+21.5.24 -VRP v76;com.incitevr.activeshooter;9;2026-04-15 20:42 UTC;518;0;0;0
Actors;Actors v10+0.9.6 -JF;com.epicgames.actorsvr;10;2026-06-16 20:10 UTC;2117;0;0;0
AEROGAMI VR: PAPER PLANE SIMULATOR;AEROGAMI VR PAPER PLANE SIMULATOR v5+1.4 -VRP;com.yunlystudio.aerogamivr;5;2026-04-15 21:08 UTC;404;0;0;0
Aerosurfer;Aerosurfer v477+1.3 -JF2;com.breach.aerosurfer;477;2026-04-21 11:33 UTC;540;0;0;0
AFFECTED- The Manor - Complete Edition;AFFECTED- The Manor - Complete Edition v114+1.9 -VRP v76;com.fallen.manorquest;114;2026-04-15 21:11 UTC;1741;0;0;0
Age of the monster;Age of the monster v1+1.0.0 -VRP v76;com.albyon.ltdm;1;2026-04-15 20:42 UTC;698;0;0;0
Agent Oops!;Agent Oops! v730+730 -JF;it.mixedbag.spyoops2;730;2026-04-15 21:15 UTC;3838;0;0;0
AI Roommate;AI Roommate v542+4.8.2 -JF;com.raetae.airoommate;542;2026-06-24 08:42 UTC;1940;0;0;0
AI Therapist- Your Emotional Guide;AI Therapist- Your Emotional Guide v139+4.6.0 -JF;com.raetae.aitherapist;139;2026-06-26 09:47 UTC;1081;0;0;0
Aim & Bounce;Aim & Bounce v1+1 -VRP;com.estisoft.aimbounce;1;2026-04-15 21:15 UTC;48;0;0;0
Aim Assault;Aim Assault v46+1.0.46 -VRP;com.divr.aimassault;46;2026-04-16 21:11 UTC;2276;0;0;0
Aim Trainer;Aim Trainer v30+1.0 -VRP;com.icedartisan.aimtrainer;30;2026-04-16 21:11 UTC;368;0;0;0
AimVR;AimVR v15+0.1.15 -VRP v76;app.pinbit.aimvr;15;2026-04-15 20:42 UTC;168;0;0;0
Air Guitar;Air Guitar v2+1 -VRP;com.vlura.airguitar;2;2026-04-15 20:42 UTC;165;0;0;0
Air Traffic BLITZ;Air Traffic BLITZ v10+1.1 -VRP v76;com.reflektsoft.airtrafficblitzq;10;2026-04-15 20:43 UTC;354;0;0;0
Airport Ground Handling Simulator VR;Airport Ground Handling Simulator VR v25+1.4.3 - 2023-04-14_17-33 - 16fe2009 -VRP v76;com.aviar.aghs;25;2026-04-16 21:12 UTC;2481;0;0;0
Airport Security Dog;Airport Security Dog v606101909+0.5.1 -JF;com.etermax.airportsecuritydog;606101909;2026-06-14 19:29 UTC;439;0;0;0
AirRacer;AirRacer v32+2.0 -VRP v76;com.kampai.airracer;32;2026-04-15 20:43 UTC;252;0;0;0
Airspace Defender;Airspace Defender v213+0.1 -VRP v76;com.notsuspicious.airspacedefender;213;2026-04-15 20:43 UTC;134;0;0;0
Ajax All Powerful;Ajax All Powerful v12+2.7 -VRP;com.easyaction.ajax.se;12;2026-04-16 21:14 UTC;567;0;0;0
Akpala;Akpala v326+1.3763 -VRP;com.redefinearts.akpalavr;326;2026-04-16 21:14 UTC;5805;0;0;0
Alex and the Jets;Alex and the Jets v3157+0.37 -VRP;com.hoopostudios.alex;3157;2026-04-15 20:44 UTC;222;0;0;0
Alien Shooter: Hardcore Mech Simulator;Hellhive v7+0.7 -VRP;com.crystalapps.hellhive;7;2026-04-16 04:40 UTC;426;0;0;0
Alien Squatters;Alien Squatters v4+0.2 -VRP v76;com.reedgaming.aliensquatters;4;2026-04-16 21:10 UTC;238;0;0;0
Alienation;Alienation v23+1.293 -VRP v76;com.fiftyonealiens.alienationgame;23;2026-04-15 20:45 UTC;241;0;0;0
All Hail the Cook-o-tron;All Hail the Cook-o-tron v10+1.2.5 -VRP v76;com.slapjak.cookotron;10;2026-04-15 20:47 UTC;846;0;0;0
All In One Sports;All-In-One Sports v91+1.8.0 -VRP;com.appnori.allinonesports;91;2026-04-15 20:45 UTC;1012;0;0;0
All In One Sports;All In One Sports v100+1.9.0 -JF;com.appnori.allinonesports;100;2026-05-23 19:33 UTC;1011;0;0;0
All In One Summer Sports VR;All In One Summer Sports VR v52+0.5.1 -VRP v76;com.appnori.summersports;52;2026-04-15 20:45 UTC;819;0;0;0
Alma's Disk: Episode 01 - Atom;Almas Disk Episode 01 - Atom v28+V2-0.97 -VRP v76;com.raumkapsel.almasdisk_episode1;28;2026-04-15 20:45 UTC;107;0;0;0
Along Together;Along Together v14+1.2.11 -Vrmoo;com.turbobutton.alongtogetherovr;14;2026-04-15 20:45 UTC;310;0;0;0
AlpineAcceleration;AlpineAcceleration v11+1.1 -VRP v76;com.sai.alpineacceleration;11;2026-04-15 20:45 UTC;132;0;0;0
ALTDEUS- Beyond Chronos;ALTDEUS- Beyond Chronos v538+1.1.538 -VRP v76;com.mydearest.altdeus;538;2026-04-15 21:13 UTC;2044;0;0;0
Amber of Jinn;Amber of Jinn v7+7 -VRP v76;com.stixortech.theghosthunter;7;2026-04-15 20:45 UTC;655;0;0;0
Ambulance Life;Ambulance Life v4+1.0.3 -VRP;com.initiumstudio.ambulancelife;4;2026-04-15 20:55 UTC;499;0;0;0
Ambulate to Wheelchair Simulator;Ambulate to Wheelchair Simulator v11+1.0 -VRP v76;com.holopundits.ambulatetowheelchairsimulator;11;2026-04-15 20:48 UTC;211;0;0;0
Ambulate using Transfer Belt Simulator;Ambulate using Transfer Belt Simulator v14+2.0 -VRP;com.holopundits.ambulateusingtransferbeltsimulator;14;2026-04-15 20:50 UTC;182;0;0;0
Amid Evil;Amid Evil v131+1.34 -VRP v76;aei.andreelijahimmersive.amidevilvr;131;2026-04-15 21:53 UTC;4241;0;0;0
Among Giants;Among Giants v190+1.0.15 -JF;com.kmonkey.amonggiants;190;2026-06-03 12:13 UTC;719;0;0;0
Anatomy of a Chicken;Anatomy of a Chicken v2+1.0 -VRP v76;com.poultryhub.anatomyofachicken;2;2026-04-15 20:45 UTC;96;0;0;0
Ancient Dungeon;Ancient Dungeon v325+ea0.1.10.1 -JF;de.erthu.ancientdungeonfull;325;2026-05-08 20:45 UTC;278;0;0;0
Andromeda Sports;Andromeda Sports v34+1.1.4 -VRP v76;com.kinerse.andromedasports.apk;34;2026-04-15 20:46 UTC;252;0;0;0
Angry Birds VR- Isle of Pigs;Angry Birds VR- Isle of Pigs v307278777+3.7.5.278777-release -VRP;com.resolutiongames.abvriop.santacruz;307278777;2026-04-15 20:46 UTC;580;0;0;0
Angry Birds VR- Isle of Pigs;Angry Birds VR- Isle of Pigs (Quest 1) v305100058+3.5.100058 -VRP;com.resolutiongames.abvriop.santacruz;305100058;2026-04-15 20:46 UTC;357;0;0;0
Angry Universe VR;Angry Universe VR v40+0.22.4 -VRP v76;com.rottaca.angryuniverse;40;2026-04-15 20:46 UTC;213;0;0;0
Animal Keeper;Animal Keeper v3+1.0.2 -VRP v76;com.frenchindie.animalkeeper;3;2026-04-15 20:46 UTC;297;0;0;0
Animalz Mixed Reality;Animalz Mixed Reality v608+1.608 -VRP v76;com.zosustudiosllc.zosuhandsc;608;2026-04-15 21:27 UTC;2626;0;0;0
Anime Fight Club - Simulator (Early Access);Anime Fight Club - Simulator (Early Access) v1+1.0 -VRP v76;com.vrmonkey.isekai;1;2026-04-15 20:52 UTC;522;0;0;0
Another Door- Escape Room;Another Door- Escape Room v41+1.0.8 -VRP v76;com.skonec.escaperoomonline;41;2026-04-15 20:55 UTC;2054;0;0;0
Another Zombie-boss;Another Zombie-boss v25+savet -JF;com.aplayt.vrshooter;25;2026-04-26 10:44 UTC;66;0;0;0
Anshar 2- Hyperdrive;Anshar 2- Hyperdrive v196+196 -VRP v76;com.ozwe.aw2h;196;2026-04-15 21:21 UTC;3826;0;0;0
ANSUZ;ANSUZ v135+1.0.3 -VRP v76;com.characterbank.suzunari_work;135;2026-04-15 21:11 UTC;232;0;0;0
Antiprism;Antiprism v6+1.04 -VRP v76;com.zerofun.antiprism;6;2026-04-15 20:49 UTC;758;0;0;0
anyWR (Discontinued);anyWR v2033+5.394 -VRP;com.anywr.anywr;2033;2026-04-16 20:15 UTC;148;0;0;0
Apex Construct;Apex Construct v64+64.0 -VRP v76;com.fasttravelgames.apexconstruct;64;2026-04-15 21:18 UTC;1369;0;0;0
Apollo 11;Apollo 11 v22+2.3 -VRP v76;com.immersivevreducation.apollo11questfinal;22;2026-04-15 21:19 UTC;1867;0;0;0
Aqua Glide;Aqua Glide v58+0.0.3.9 -VRP v76;com.horizonforge.aquaglide;58;2026-04-15 20:57 UTC;3196;0;0;0
Aquapark Tycoon;Aquapark Tycoon v2+0.2 -VRP v76;com.estisoft.aquaparktycoon;2;2026-04-15 20:50 UTC;62;0;0;0
AquaPoloX;AquaPoloX v1+0.1 -VRP;com.xzec.aquapolox;1;2026-04-15 20:47 UTC;89;0;0;0
Aquarium Adventures;Aquarium Adventures v7+1.0.3 -JF;com.framesixtylabs.aquarium;7;2026-05-05 09:57 UTC;1162;0;0;0
